url,path,city,region,service,keyword,reason,generated_status,excluded_if
https://seo.bdmnl.nl/website-laten-maken-rotterdam/,/website-laten-maken-rotterdam/,Rotterdam,Zuid-Holland,Website laten maken,Website laten maken,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/seo-bureau-rotterdam/,/seo-bureau-rotterdam/,Rotterdam,Zuid-Holland,SEO,SEO bureau,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/online-marketing/online-marketing-rotterdam/,/online-marketing/online-marketing-rotterdam/,Rotterdam,Zuid-Holland,Online marketing,Online marketing,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/social-media-beheer-rotterdam/,/social-media-beheer-rotterdam/,Rotterdam,Zuid-Holland,Social media,Social media beheer,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/website-laten-maken-brielle/,/website-laten-maken-brielle/,Brielle,Zuid-Holland,Website laten maken,Website laten maken,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/seo-bureau-brielle/,/seo-bureau-brielle/,Brielle,Zuid-Holland,SEO,SEO bureau,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/social-media-beheer-brielle/,/social-media-beheer-brielle/,Brielle,Zuid-Holland,Social media,Social media beheer,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/webdesign/webdesign-hellevoetsluis/,/webdesign/webdesign-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,Webdesign,Webdesign,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/website-laten-maken-hellevoetsluis/,/website-laten-maken-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,Website laten maken,Website laten maken,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/seo-bureau-hellevoetsluis/,/seo-bureau-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,SEO,SEO bureau,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/online-marketing/online-marketing-hellevoetsluis/,/online-marketing/online-marketing-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,Online marketing,Online marketing,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/social-media-beheer-hellevoetsluis/,/social-media-beheer-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,Social media,Social media beheer,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/reclamebureau/reclamebureau-hellevoetsluis/,/reclamebureau/reclamebureau-hellevoetsluis/,Hellevoetsluis,Zuid-Holland,Reclamebureau,Reclamebureau,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/webdesign/webdesign-rockanje/,/webdesign/webdesign-rockanje/,Rockanje,Zuid-Holland,Webdesign,Webdesign,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/website-laten-maken-rockanje/,/website-laten-maken-rockanje/,Rockanje,Zuid-Holland,Website laten maken,Website laten maken,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/seo-bureau-rockanje/,/seo-bureau-rockanje/,Rockanje,Zuid-Holland,SEO,SEO bureau,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/online-marketing/online-marketing-rockanje/,/online-marketing/online-marketing-rockanje/,Rockanje,Zuid-Holland,Online marketing,Online marketing,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
https://seo.bdmnl.nl/social-media-beheer-rockanje/,/social-media-beheer-rockanje/,Rockanje,Zuid-Holland,Social media,Social media beheer,Priority regional commercial page absent from current recovery coverage.,created,"temporary, preview, duplicate-only or no commercial SEO value"
